Frequency_MHz,RSSI_dBm,NoiseFloor_dBm,SNR_dB,Channel,Interference
2401,-41,-95,54,2,No
2402,-42,-95,53,3,No
2403,-43,-95,52,4,No
2404,-44,-95,51,5,No
2405,-45,-95,50,6,Yes
2406,-46,-95,49,7,No
2407,-47,-95,48,8,No
2408,-48,-95,47,9,No
2409,-49,-95,46,10,No
2410,-50,-95,45,11,Yes
2411,-51,-95,44,1,No
2412,-52,-95,43,2,No
2413,-53,-95,42,3,No
2414,-54,-95,41,4,No
2415,-55,-95,40,5,Yes
2416,-56,-95,39,6,No
2417,-57,-95,38,7,No
2418,-58,-95,37,8,No
2419,-59,-95,36,9,No
2420,-60,-95,35,10,Yes
2421,-61,-95,34,11,No
2422,-62,-95,33,1,No
2423,-63,-95,32,2,No
2424,-64,-95,31,3,No
2425,-65,-95,30,4,Yes
2426,-66,-95,29,5,No
2427,-67,-95,28,6,No
2428,-68,-95,27,7,No
2429,-69,-95,26,8,No
2430,-70,-95,55,9,Yes
2431,-71,-95,54,10,No
2432,-72,-95,53,11,No
2433,-73,-95,52,1,No
2434,-74,-95,51,2,No
2435,-75,-95,50,3,Yes
2436,-76,-95,49,4,No
2437,-77,-95,48,5,No
2438,-78,-95,47,6,No
2439,-79,-95,46,7,No
2440,-40,-95,45,8,Yes
2441,-41,-95,44,9,No
2442,-42,-95,43,10,No
2443,-43,-95,42,11,No
2444,-44,-95,41,1,No
2445,-45,-95,40,2,Yes
2446,-46,-95,39,3,No
2447,-47,-95,38,4,No
2448,-48,-95,37,5,No
2449,-49,-95,36,6,No
2450,-50,-95,35,7,Yes
2451,-51,-95,34,8,No
2452,-52,-95,33,9,No
2453,-53,-95,32,10,No
2454,-54,-95,31,11,No
2455,-55,-95,30,1,Yes
2456,-56,-95,29,2,No
2457,-57,-95,28,3,No
2458,-58,-95,27,4,No
2459,-59,-95,26,5,No
2460,-60,-95,55,6,Yes
2461,-61,-95,54,7,No
2462,-62,-95,53,8,No
2463,-63,-95,52,9,No
2464,-64,-95,51,10,No
2465,-65,-95,50,11,Yes
2466,-66,-95,49,1,No
2467,-67,-95,48,2,No
2468,-68,-95,47,3,No
2469,-69,-95,46,4,No
2470,-70,-95,45,5,Yes
2471,-71,-95,44,6,No
2472,-72,-95,43,7,No
2473,-73,-95,42,8,No
2474,-74,-95,41,9,No
2475,-75,-95,40,10,Yes
2476,-76,-95,39,11,No
2477,-77,-95,38,1,No
2478,-78,-95,37,2,No
2479,-79,-95,36,3,No
2480,-40,-95,35,4,Yes
2481,-41,-95,34,5,No
2482,-42,-95,33,6,No
2483,-43,-95,32,7,No
2484,-44,-95,31,8,No
2485,-45,-95,30,9,Yes
2486,-46,-95,29,10,No
2487,-47,-95,28,11,No
2488,-48,-95,27,1,No
2489,-49,-95,26,2,No
2490,-50,-95,55,3,Yes
2491,-51,-95,54,4,No
2492,-52,-95,53,5,No
2493,-53,-95,52,6,No
2494,-54,-95,51,7,No
2495,-55,-95,50,8,Yes
2496,-56,-95,49,9,No
2497,-57,-95,48,10,No
2498,-58,-95,47,11,No
2499,-59,-95,46,1,No
2500,-60,-95,45,2,Yes
